0,0,2022/9/9,,,,,,,,,,,,
1,1,2022/5/10,1.0,媒体报道与MD&A语调操纵,王跃堂; 周洁,安徽大学学报(哲学社会科学版),期刊,,239.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=1&recid=&FileName=ADZS202203012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=," 王跃堂1,2 周洁2",媒体报道; MD＆A; 语调操纵; 管理层机会主义;,社会科学Ⅱ辑; 信息科技; 经济与管理科学,新闻与传媒; 企业经济; 金融; 证券; 投资
2,2,2022/5/10,2.0,企业多元化经营对银行借款融资的影响研究,高利芳; 李璐,安徽大学学报(哲学社会科学版),期刊,1.0,218.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=2&recid=&FileName=ADZS202203013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 高利芳 李璐,多元化经营; 银行借款融资; 经营风险; 信息风险;,社会科学Ⅱ辑; 经济与管理科学,企业经济; 金融
3,3,2022/5/10,3.0,并购商誉、公司治理与风险防控,朱平芳; 廖辉,安徽大学学报(哲学社会科学版),期刊,,248.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=3&recid=&FileName=ADZS202203014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 朱平芳 廖辉,并购商誉; 股价崩盘; 公司治理; 风险防控;,社会科学Ⅱ辑; 经济与管理科学,企业经济
4,4,2022/5/10,4.0,长三角城市高质量发展的评价逻辑与空间特征,杜宇; 李娜娜,安徽大学学报(哲学社会科学版),期刊,,249.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=4&recid=&FileName=ADZS202203015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 杜宇1 李娜娜2,长三角; 城市高质量发展; 都市圈; 空间特征; 区域协调发展;,社会科学Ⅱ辑; 经济与管理科学,宏观经济管理与可持续发展
5,5,2022/5/10,5.0,民国时期徽州宗族的修谱、理主活动——以歙县南乡东源张叙伦祠文书为例,王振忠,安徽大学学报(哲学社会科学版),期刊,,68.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=5&recid=&FileName=ADZS202203001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 王振忠,张叙伦祠文书; 徽州; 歙县东源; 修谱; 理主; 宗族; 族谱;,社会科学Ⅱ辑; 哲学与人文科学,中国近现代史; 人物传记
6,6,2022/5/10,6.0,公私文书与明代徽州家谱的编修,祝虻,安徽大学学报(哲学社会科学版),期刊,,62.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=6&recid=&FileName=ADZS202203002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 祝虻,文书; 明代; 徽州; 家谱; 宗族;,社会科学Ⅱ辑; 哲学与人文科学,中国古代史; 人物传记
7,7,2022/5/10,7.0,从丧礼之“踊”看儒家礼仪的身心修炼,蒋昊,安徽大学学报(哲学社会科学版),期刊,,83.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=7&recid=&FileName=ADZS202203003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 蒋昊,礼; 丧礼; 踊; 身体; 身心修炼; 价值主体;,社会科学Ⅱ辑; 哲学与人文科学,文化; 哲学
8,8,2022/5/10,8.0,王者以仁义治天下的理路及困境——论董仲舒天下观念的内在张力,刘飞飞,安徽大学学报(哲学社会科学版),期刊,,91.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=8&recid=&FileName=ADZS202203004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 刘飞飞,董仲舒; 王者; 仁义; 天下; 交往;,社会科学Ⅱ辑; 哲学与人文科学; 社会科学Ⅰ辑,哲学; 政治学
9,9,2022/5/10,9.0,论金元文人题咏杨邦基绘画的诗歌,胡传志,安徽大学学报(哲学社会科学版),期刊,,57.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=9&recid=&FileName=ADZS202203005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 胡传志,金元文人; 题画诗; 杨邦基;,社会科学Ⅱ辑; 哲学与人文科学,中国文学; 中国古代史
10,10,2022/5/10,10.0,宋元之际的“方氏合族”与方回的诗歌宗派观,郭庆财,安徽大学学报(哲学社会科学版),期刊,,31.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=10&recid=&FileName=ADZS202203006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 郭庆财,淳歙方氏; 方回; 一祖三宗; 宗族诗学;,社会科学Ⅱ辑; 哲学与人文科学,中国文学
11,11,2022/5/10,11.0,“小游仙”诗题在元明时期的传承与书写,程瑜瑶,安徽大学学报(哲学社会科学版),期刊,,51.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=11&recid=&FileName=ADZS202203007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 程瑜瑶,曹唐; 小游仙诗; 道教诗歌; 《二曹集》;,社会科学Ⅱ辑; 哲学与人文科学,中国文学; 中国古代史
12,12,2022/5/10,12.0,环境罚金刑修复性易科制度的理论证成与建构路径,唐绍均; 王嘉琪,安徽大学学报(哲学社会科学版),期刊,,115.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=12&recid=&FileName=ADZS202203008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 唐绍均1 王嘉琪2,环境罚金刑; 恢复性司法; 罚金刑易科; 修复性非刑罚措施;,社会科学Ⅱ辑; 社会科学Ⅰ辑,刑法
13,13,2022/5/10,13.0,环境犯罪认罪认罚从宽的适用困境及其破解,孙洪坤; 陈雅玲,安徽大学学报(哲学社会科学版),期刊,,192.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=13&recid=&FileName=ADZS202203009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 孙洪坤1 陈雅玲2,环境犯罪; 认罪认罚; 适用困境; 检察主导; 配套制度;,社会科学Ⅱ辑; 社会科学Ⅰ辑,诉讼法与司法制度
