1.0,保单质押贷款中受益人与质权人的利益平衡——以《民法典》出台为背景,黄昱斌,保险研究,2022-04-20,期刊,,65.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=1&recid=&FileName=BXYJ202204005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
2.0,董事高管责任保险能够监督环境治理吗?——基于我国上市公司的经验证据,许荣; 徐一泽; 刘怡君; 戴稳胜,保险研究,2022-04-20,期刊,,232.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=2&recid=&FileName=BXYJ202204004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
3.0,社会保险缴费压力与企业避税行为:促进还是抑制?,刘璐; 杨明辉,保险研究,2022-04-20,期刊,,219.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=3&recid=&FileName=BXYJ202204008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
4.0,新征程上我国保险业服务共同富裕的功能研究,邱晓华; 李衡; 徐灼; 李珂,保险研究,2022-04-20,期刊,,150.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=4&recid=&FileName=BXYJ202204001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
5.0,社会网络分层与中国城镇家庭保险消费——基于风险分担与知识溢出双重视角的分析,石晓军; 杜宝瑞; 秦国庆,保险研究,2022-04-20,期刊,,198.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=5&recid=&FileName=BXYJ202204002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
6.0,资本回报率为核心的寿险公司最优资产配置模型,杨步青; 田伟,保险研究,2022-04-20,期刊,,84.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=6&recid=&FileName=BXYJ202204003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
7.0,养老保险税优政策的本土探索、国际经验与提升路径,谢予昭,保险研究,2022-04-20,期刊,,127.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=7&recid=&FileName=BXYJ202204006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
8.0,灵活就业人员基本养老保险参与、地位认同与公平感——来自CLDS数据的证据,张寅凯; 薛惠元,保险研究,2022-04-20,期刊,,425.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=8&recid=&FileName=BXYJ202204007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
9.0,利益平衡视角下利他保险合同中任意解除制度的反思与完善,吴涵昱,保险研究,2022-03-20,期刊,,145.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=9&recid=&FileName=BXYJ202203006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
10.0,商业人身保险能否助力居民消费升级?,袁成,保险研究,2022-03-20,期刊,,237.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=10&recid=&FileName=BXYJ202203001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
11.0,数据驱动的互联网保险产品创新风险管理研究,袁峰; 许凌珠; 邵祥理,保险研究,2022-03-20,期刊,,249.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=2&CurRec=11&recid=&FileName=BXYJ202203003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
